Name,Artist(s),Album,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valance
Propane Nightmares,Pendulum,In Silico,0.000262,0.356,313347,0.966,0.148,0.192,-4.13,0.0825,173.992,0.215
Slam,Pendulum,Hold Your Colour,3.04e-05,0.428,344973,0.982,0.822,0.322,-4.104,0.0477,173.998,0.3
Live And Let Die,Guns N' Roses,Use Your Illusion I,0.0106,0.266,182733,0.778,0.113,0.12,-8.671,0.0624,151.244,0.262
Nightrain,Guns N' Roses,Appetite For Destruction,0.107,0.4,266173,0.992,0.0117,0.179,-6.995,0.0725,149.412,0.243
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",0.00428,0.55,177827,0.917,0.0,0.197,-3.159,0.0638,126.115,0.601
Pork And Beans,Weezer,Weezer,0.0109,0.599,189400,0.624,8.06e-06,0.158,-6.622,0.0339,119.838,0.706
Say It Ain't So,Weezer,Weezer (Deluxe Edition),0.00328,0.635,256880,0.435,6.78e-06,0.071,-7.521,0.031,76.098,0.459
BURN IT DOWN,Linkin Park,LIVING THINGS,0.0143,0.585,230253,0.972,0.0,0.0707,-4.45,0.0534,110.006,0.585
Slayed,Overseer,Wreckage,0.0346,0.655,287813,0.899,0.0122,0.0774,-8.374,0.157,170.018,0.517
American Idiot,Green Day,American Idiot,2.64e-05,0.38,176346,0.988,7.86e-05,0.368,-2.042,0.0639,186.113,0.769
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,0.0326,0.445,273600,0.955,0.284,0.317,-8.027,0.0856,123.343,0.336
Joker And The Thief,Wolfmother,Wolfmother,0.0452,0.264,280467,0.78,0.0222,0.376,-2.741,0.0517,155.376,0.456
The Devil Went Down to Georgia,The Charlie Daniels Band,Million Mile Reflections,0.131,0.517,215067,0.535,0.0,0.085,-12.027,0.0494,135.087,0.933
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),0.00321,0.482,323000,0.786,8.88e-05,0.446,-5.735,0.032,126.755,0.793
Through the Fire and Flames,DragonForce,Inhuman Rampage,0.00176,0.113,441560,0.951,0.00718,0.334,-4.743,0.129,200.024,0.139
Granite,Pendulum,In Silico,1.35e-05,0.392,283467,0.925,0.703,0.356,-6.349,0.0462,174.089,0.2
Crazy Train,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),0.36,0.453,296200,0.905,0.000569,0.26,-4.001,0.115,137.571,0.474
Know Your Enemy,Green Day,21st Century Breakdown,0.0016,0.56,190987,0.958,4.96e-05,0.0643,-3.245,0.0412,129.984,0.961
The Phoenix,Fall Out Boy,Save Rock And Roll,0.000557,0.561,244960,0.964,1.46e-06,0.579,-2.993,0.0719,138.064,0.411
Cum on Feel the Noize,Quiet Riot,Metal Health,0.00719,0.409,290960,0.92,0.00105,0.0823,-5.439,0.12,145.085,0.37
I Wanna Rock,Twisted Sister,Stay Hungry,0.00512,0.504,179760,0.911,0.0123,0.355,-2.97,0.0738,106.244,0.671
Lonely Boy,The Black Keys,El Camino,0.00417,0.356,193653,0.872,0.00975,0.0997,-7.837,0.068,166.3,0.607
Time to Pretend,MGMT,Oracular Spectacular,8.74e-05,0.438,261000,0.94,0.0777,0.3,-3.249,0.0452,100.99,0.421
The Anthem,Good Charlotte,The Young and The Hopeless,0.00666,0.494,175093,0.939,0.0,0.139,-3.127,0.126,177.751,0.893
The Kids Aren't Alright,The Offspring,Americana,0.00599,0.52,179600,0.945,4.97e-05,0.0495,-4.197,0.0335,99.603,0.807
Outrage,Capital Lights,This Is An Outrage!,0.00665,0.478,229867,0.855,0.0,0.492,-4.881,0.0333,164.916,0.619
Bang Bang,Green Day,Revolution Radio,0.000326,0.499,205440,0.958,2.19e-06,0.432,-5.417,0.0898,127.491,0.359
Bored To Death,blink-182,California,0.00575,0.502,235613,0.966,1.56e-06,0.117,-3.876,0.0946,159.948,0.638
Tom Sawyer,Rush,Moving Pictures (2011 Remaster),0.00146,0.53,276973,0.9,0.0189,0.0407,-7.233,0.0371,87.476,0.652
Test For Echo,Rush,Test For Echo,0.000415,0.549,355920,0.829,0.0163,0.138,-10.37,0.0334,130.246,0.566
Pump It,Black Eyed Peas,Monkey Business,0.0093,0.649,213067,0.931,0.0,0.751,-3.15,0.181,153.645,0.744
Shout,Tears For Fears,Songs From The Big Chair,0.174,0.511,393667,0.942,1.87e-05,0.139,-10.407,0.0429,97.909,0.498
Uprising,Muse,The Resistance,0.000202,0.602,304840,0.905,0.064,0.117,-4.046,0.0775,128.019,0.411
Fuck the Fire Department,Vincent E. L.,Fuck the Fire Department,0.000338,0.674,226659,0.87,4.53e-05,0.395,-7.787,0.113,100.036,0.686
